date,gnerd_score,visiting_tnerd,home_tnerd,visiting_pnerd,home_pnerd,visiting_team,home_team,visiting_pitcher,home_pitcher
2025-07-21,14.7,7.5,5.6,,8.1,MIL,SEA,Brandon Woodruff,George Kirby
2025-07-21,14.3,8.6,2.9,5.9,11.2,DET,PIT,Jack Flaherty,Paul Skenes
2025-07-21,12.9,8.3,6.7,6.2,4.7,NYY,TOR,Carlos Rodón,Kevin Gausman
2025-07-21,12.3,6.7,5.9,1.8,10.2,BOS,PHI,Walker Buehler,Zack Wheeler
2025-07-21,12.3,2.9,9.3,6.2,,KCR,CHC,Noah Cameron,Ryan Brasier
2025-07-21,11.1,4.6,7.6,5.9,4.0,HOU,ARI,Colton Gordon,Zac Gallen
2025-07-21,10.5,3.5,6.7,5.4,,MIN,LAD,David Festa,Shohei Ohtani
2025-07-21,10.4,7.6,5.8,4.2,3.3,ATH,TEX,Jacob Lopez,Jack Leiter
2025-07-21,8.8,1.9,5.8,4.5,5.5,SFG,ATL,Hayden Birdsong,Bryce Elder
2025-07-21,8.2,2.5,6.2,1.5,6.2,CHW,TBR,Sean Burke,Shane Baz
2025-07-21,8.2,3.0,8.3,1.6,3.5,LAA,NYM,Tyler Anderson,Kodai Senga
2025-07-21,7.0,2.2,6.1,-2.1,7.9,SDP,MIA,Randy Vásquez,Eury Pérez
2025-07-21,6.5,2.4,5.1,1.5,4.0,BAL,CLE,Tomoyuki Sugano,Tanner Bibee
2025-07-21,5.7,3.8,2.0,3.4,2.1,CIN,WSN,Brady Singer,Jake Irvin
2025-07-21,5.4,4.8,2.5,4.5,-1.1,STL,COL,Michael McGreevy,Austin Gomber
2025-07-22,17.7,7.4,5.7,11.0,11.4,MIL,SEA,Jacob Misiorowski,Logan Gilbert
2025-07-22,14.9,7.6,5.9,6.5,9.7,ATH,TEX,J.T. Ginn,Jacob deGrom
2025-07-22,14.5,6.7,5.9,7.4,9.0,BOS,PHI,Richard Fitts,Cristopher Sánchez
2025-07-22,11.9,4.7,7.8,7.2,4.1,HOU,ARI,Framber Valdez,Eduardo Rodriguez
2025-07-22,11.6,2.9,9.4,,5.5,KCR,CHC,Rich Hill,Matthew Boyd
2025-07-22,11.4,8.4,6.5,,3.9,NYY,TOR,Cam Schlittler,Max Scherzer
2025-07-22,10.7,3.8,6.8,2.5,8.2,MIN,LAD,Simeon Woods Richardson,Yoshinobu Yamamoto
2025-07-22,10.7,8.6,2.8,5.6,4.3,DET,PIT,Casey Mize,Mitch Keller
2025-07-22,9.9,2.3,5.2,4.3,7.9,BAL,CLE,Brandon Young,Joey Cantillo
2025-07-22,9.9,3.7,2.2,,6.9,CIN,WSN,Chase Burns,Brad Lord
2025-07-22,9.7,1.9,5.7,5.8,,SFG,ATL,Landen Roupp,Davis Daniel
2025-07-22,9.5,2.6,6.3,3.7,6.4,CHW,TBR,Davis Martin,Drew Rasmussen
2025-07-22,9.3,2.1,6.1,3.1,7.2,SDP,MIA,Stephen Kolek,Edward Cabrera
2025-07-22,7.6,2.8,8.3,2.0,,LAA,NYM,Kyle Hendricks,Frankie Montas
2025-07-22,3.7,4.9,2.3,-0.9,1.2,STL,COL,Erick Fedde,Bradley Blalock
2025-07-23,13.1,4.9,7.9,8.9,4.4,HOU,ARI,Brandon Walter,Brandon Pfaadt
2025-07-23,12.9,6.5,5.8,4.2,9.3,BOS,PHI,Lucas Giolito,Jesús Luzardo
2025-07-23,12.4,8.3,6.5,5.3,4.7,NYY,TOR,Max Fried,Chris Bassitt
2025-07-23,12.3,7.4,5.5,6.7,5.1,MIL,SEA,Quinn Priester,Luis Castillo
2025-07-23,10.5,2.0,6.2,8.6,4.2,SDP,MIA,Dylan Cease,Sandy Alcantara
2025-07-23,9.5,2.8,9.6,4.2,2.4,KCR,CHC,Seth Lugo,Colin Rea
2025-07-23,9.2,1.8,5.7,2.6,8.2,SFG,ATL,Justin Verlander,Spencer Strider
2025-07-23,9.1,7.7,5.8,0.7,3.9,ATH,TEX,JP Sears,Patrick Corbin
2025-07-23,8.5,2.5,6.2,2.5,5.8,CHW,TBR,Jonathan Cannon,Taj Bradley
2025-07-23,8.2,2.4,5.3,3.7,5.0,BAL,CLE,Zach Eflin,Slade Cecconi
2025-07-23,8.2,3.4,6.6,2.0,4.4,MIN,LAD,Chris Paddack,Tyler Glasnow
2025-07-23,8.1,5.0,2.2,4.5,,STL,COL,Andre Pallante,Tanner Gordon
2025-07-23,8.1,3.7,2.3,5.1,5.1,CIN,WSN,Nick Lodolo,Michael Soroka
2025-07-23,6.1,8.7,3.0,,0.2,DET,PIT,Troy Melton,Bailey Falter
2025-07-23,5.7,3.0,8.3,,,LAA,NYM,Brock Burke,Sean Manaea
2025-07-24,13.0,6.6,8.4,4.4,6.6,TOR,DET,Eric Lauer,Reese Olson
2025-07-24,10.9,2.1,4.8,,7.5,SDP,STL,Yu Darvish,Sonny Gray
2025-07-24,8.9,7.6,4.9,2.6,,ATH,HOU,Luis Severino,Jason Alexander
2025-07-24,8.3,5.6,2.8,3.6,4.7,SEA,LAA,Logan Evans,Yusei Kikuchi
2025-07-24,7.3,2.1,5.3,3.8,3.5,BAL,CLE,Charlie Morton,Logan Allen
2025-07-25,12.4,2.2,3.5,8.1,11.0,WSN,MIN,MacKenzie Gore,Zebby Matthews
2025-07-25,12.0,5.7,2.7,7.8,7.9,SEA,LAA,Bryan Woo,José Soriano
2025-07-25,11.6,8.4,2.0,3.2,9.6,NYM,SFG,Clay Holmes,Logan Webb
2025-07-25,11.3,6.0,8.2,3.0,5.5,PHI,NYY,Taijuan Walker,Will Warren
2025-07-25,10.9,6.8,8.5,2.5,4.0,TOR,DET,José Berríos,Keider Montero
2025-07-25,10.8,5.8,5.7,1.0,9.0,ATL,TEX,Joey Wentz,Nathan Eovaldi
2025-07-25,10.6,8.1,3.1,4.1,5.9,ARI,PIT,Ryne Nelson,Mike Burrows
2025-07-25,10.1,6.7,6.5,,3.5,LAD,BOS,Emmet Sheehan,Brayan Bello
2025-07-25,10.0,6.1,7.3,2.3,4.3,MIA,MIL,Cal Quantrill,Freddy Peralta
2025-07-25,9.7,9.5,2.6,2.6,4.7,CHC,CHW,Shota Imanaga,Adrian Houser
2025-07-25,9.1,7.6,4.8,2.0,3.9,ATH,HOU,Jeffrey Springs,Ryan Gusto
2025-07-25,8.6,6.3,3.6,4.6,2.7,TBR,CIN,Zack Littell,Nick Martinez
2025-07-25,8.4,5.2,2.9,5.2,3.5,CLE,KCR,Gavin Williams,Michael Wacha
2025-07-25,7.8,2.1,4.8,6.1,2.5,SDP,STL,Nick Pivetta,Miles Mikolas
2025-07-25,6.0,2.2,2.1,4.3,3.5,COL,BAL,Kyle Freeland,Dean Kremer
2025-07-26,17.3,6.8,8.4,4.8,14.6,TOR,DET,Kevin Gausman,Tarik Skubal
2025-07-26,14.1,6.5,6.5,3.3,11.8,LAD,BOS,Clayton Kershaw,Garrett Crochet
2025-07-26,12.8,7.8,4.7,4.0,9.1,ATH,HOU,Jacob Lopez,Hunter Brown
2025-07-26,11.6,5.9,5.8,5.3,6.2,ATL,TEX,Grant Holmes,Kumar Rocker
2025-07-26,11.0,6.3,3.9,6.4,5.4,TBR,CIN,Ryan Pepiot,Andrew Abbott
2025-07-26,10.5,6.1,8.1,5.5,1.3,PHI,NYY,Ranger Suárez,Marcus Stroman
